"fecha","unidad","descrubicacion","ubicacion","departamento","violencia","tamano","electoral","observaciones","numpolicias","nummilitares","toma","grupo","desalojo","lon","lat","location"
2017-11-29,"UMEP-07 Suncery","Colonia Villeda Morales","San Pedro Sula","Cortes","Violenta","200","Si","Simpatizantes del partido político Alianza exigen al TSE que reconozca al Presidenciable Salvador Nasralla con gritos y quema de llantas",12,0,"No","Simpatizantes de la Alianza de Oposicion","Ninguno",-87.9922684,15.5149204,"15.5149204,-87.9922684"
2017-11-29,"UMEP-09 La Lima","Colonia 23 de septiembre","La Lima","Cortes","Pacifica","150","Si","Simpatizantes del partido político de la Alianza exigen al TSE que reconozca el triunfo del Ingeniero Salvador Nasralla",7,0,"No","Simpatizantes de la Alianza de Oposicion","Ninguno",-87.9040571,15.4321163,"15.4321163,-87.9040571"
2017-11-29,"UMEP-10 Choloma","Boulevard del Norte carretera CA 5 a la altura del puente el Kilometro","Choloma","Cortes","Pacifica","100","Si","Simpatizantes del partido político de la Alianza exigen al TSE que reconozca el triunfo del Ingeniero Salvador Nasralla que la decisión del pueblo es que gane el Ingeniero Nasralla",NA,0,"No","Simpatizantes de la Alianza de Oposicion","Ninguno",-87.9432837,15.596502,"15.596502,-87.9432837"
2017-11-29,"UMEP-11 El Progreso","Boulevard Elena Kulman","El Progreso","Yoro","Pacifica","200","Si","Simpatizantes del partido polítoc de la Alianza exigen al TSE reconocer al Presidenciable Salvador Nasralla",NA,0,"No","Simpatizantes de la Alianza de Oposicion","Ninguno",-84.3683048,33.7143654,"33.7143654,-84.3683048"
2017-11-29,"UMEP-12 Villanueva","Carretera CA-5 altura semáforo","Villanueva","Cortes","Pacifica","400","Si","Simpatizantes del partido político Alianza exigen al TSE que reconozca al Presidenciable Salvador Nasralla",34,0,"No","Simpatizantes de la Alianza de Oposicion","Ninguno",-105.3613399,35.266753,"35.266753,-105.3613399"
2017-11-29,"UDEP-01 Atlantida","CA-13 que conduce Tela a La Ceiba a altura Hiland Crek","Tela","Atlantida","Pacifica","150","Si","Simpatizantes del partido polítoc de la Alianza exigen al TSE reconocer al Presidenciable Salvador Nasralla",11,0,"No","Simpatizantes de la Alianza de Oposicion","Ninguno",-87.4653502,15.7732601,"15.7732601,-87.4653502"
2017-11-29,"UDEP-01 Atlantida","Puente del Río Lean carretera Tela-Ceiba","Tela","Atlantida","Pacifica","300","Si","Simpatizantes del partido politico de la Alianza exigen se respete la decisión del pueblo y gane el Ingeniero Salvador Nasralla",4,0,"Si","Simpatizantes de la Alianza de Oposicion","Ninguno",-87.4653502,15.7732601,"15.7732601,-87.4653502"
2017-11-29,"UDEP-01 Atlantida","Puente Río San Juan Pueblo","La Masica","Atlantida","Pacifica","200","Si","Simpatizantes del partido político de la Alianza exigen que se reconozca el triunfo del Ingeniero Salvador Nasralla",21,0,"No","Simpatizantes de la Alianza de Oposicion","Ninguno",-87.0973828,15.6280248,"15.6280248,-87.0973828"
2017-11-29,"UDEP-01 Atlantida","Puente del Rio Danto","La Ceiba","Atlantida","Pacifica","100","Si","Simpatizantes del partido político de la Alianza exigen que se reconozca el triunfo del Ingeniero Salvador Nasralla",NA,0,"No","Simpatizantes de la Alianza de Oposicion","Ninguno",-86.7919009,15.770288,"15.770288,-86.7919009"
2017-11-29,"UDEP-01 Atlantida","Puente La Masica a la altura del puente","La Masica","Atlantida","Pacifica","150","Si","Simpatizantes del partido político de la Alianza exigen que se reconozca el triunfo del Ingeniero Salvador Nasralla",10,0,"No","Simpatizantes de la Alianza de Oposicion","Ninguno",-87.0973828,15.6280248,"15.6280248,-87.0973828"
2017-11-29,"UDEP-02 Colon","Aldea de Planes","Sonaguera","Colon","Violenta","300","Si","Toma de carretera por parte de simpatizantes de la Alianza, , obstruyeron el eje carretero incendiando llantas dejando inhabilitado el paso",28,0,"Si","Simpatizantes de la Alianza de Oposicion","Ninguno",-86.2717231,15.6156202,"15.6156202,-86.2717231"
2017-11-29,"UDEP-01 Atlantida","Aldea El Pino, puente Coloradito","La Ceiba","Atlantida","Pacifica","150","Si","Simpatizantes del partido político de la Alianza exigen que se reconozca el triunfo del Ingeniero Salvador Nasralla",4,0,"No","Simpatizantes de la Alianza de Oposicion","Ninguno",-86.7919009,15.770288,"15.770288,-86.7919009"
